,event_index,event_timestamp,input_device,event_type,event_code,event_value
211,23,83618.681988,/dev/input/event2:,0003,003a,00000081
212,23,83618.681988,/dev/input/event2:,0003,0035,00002dbf
213,23,83618.681988,/dev/input/event2:,0003,0036,00005443
214,23,83618.681988,/dev/input/event2:,0000,0000,00000000
215,23,83618.759769,/dev/input/event2:,0003,003a,00000000
216,23,83618.759769,/dev/input/event2:,0003,0039,ffffffff
217,23,83618.759769,/dev/input/event2:,0000,0000,00000000
218,24,83620.161605,/dev/input/event2:,0003,0039,00000000
219,24,83620.161605,/dev/input/event2:,0003,0030,0000001c
220,24,83620.161605,/dev/input/event2:,0003,003a,00000081
221,24,83620.161605,/dev/input/event2:,0003,0035,00002eb1
222,24,83620.161605,/dev/input/event2:,0003,0036,000047dd
223,24,83620.161605,/dev/input/event2:,0000,0000,00000000
224,24,83620.254911,/dev/input/event2:,0003,003a,00000000
225,24,83620.254911,/dev/input/event2:,0003,0039,ffffffff
226,24,83620.254911,/dev/input/event2:,0000,0000,00000000
227,25,83627.656983,/dev/input/event2:,0003,0039,00000000
228,25,83627.656983,/dev/input/event2:,0003,0030,0000001d
229,25,83627.656983,/dev/input/event2:,0003,003a,00000081
230,25,83627.656983,/dev/input/event2:,0003,0035,0000301d
231,25,83627.656983,/dev/input/event2:,0003,0036,00005587
232,25,83627.656983,/dev/input/event2:,0000,0000,00000000
233,25,83627.751371,/dev/input/event2:,0003,003a,00000000
234,25,83627.751371,/dev/input/event2:,0003,0039,ffffffff
235,25,83627.751371,/dev/input/event2:,0000,0000,00000000
236,26,83720.977966,/dev/input/event2:,0003,0039,00000000
237,26,83720.977966,/dev/input/event2:,0003,0030,0000001e
238,26,83720.977966,/dev/input/event2:,0003,003a,00000081
239,26,83720.977966,/dev/input/event2:,0003,0035,0000327c
240,26,83720.977966,/dev/input/event2:,0003,0036,00002b10
241,26,83720.977966,/dev/input/event2:,0000,0000,00000000
242,26,83721.101294,/dev/input/event2:,0003,003a,00000000
243,26,83721.101294,/dev/input/event2:,0003,0039,ffffffff
244,26,83721.101294,/dev/input/event2:,0000,0000,00000000
245,27,83722.182583,/dev/input/event13:,0001,0013,00000001
246,27,83722.182583,/dev/input/event13:,0000,0000,00000000
247,27,83722.182661,/dev/input/event13:,0001,0013,00000000
248,27,83722.182661,/dev/input/event13:,0000,0000,00000000
249,27,83722.273098,/dev/input/event13:,0001,0018,00000001
250,27,83722.273098,/dev/input/event13:,0000,0000,00000000
251,27,83722.273192,/dev/input/event13:,0001,0018,00000000
252,27,83722.273192,/dev/input/event13:,0000,0000,00000000
253,27,83722.416955,/dev/input/event13:,0001,0030,00000001
254,27,83722.416955,/dev/input/event13:,0000,0000,00000000
255,27,83722.417200,/dev/input/event13:,0001,0030,00000000
256,27,83722.417200,/dev/input/event13:,0000,0000,00000000
257,27,83722.436888,/dev/input/event13:,0001,0012,00000001
258,27,83722.436888,/dev/input/event13:,0000,0000,00000000
259,27,83722.437112,/dev/input/event13:,0001,0012,00000000
260,27,83722.437112,/dev/input/event13:,0000,0000,00000000
261,27,83722.532767,/dev/input/event13:,0001,0013,00000001
262,27,83722.532767,/dev/input/event13:,0000,0000,00000000
263,27,83722.532856,/dev/input/event13:,0001,0013,00000000
264,27,83722.532856,/dev/input/event13:,0000,0000,00000000
265,27,83722.740774,/dev/input/event13:,0001,0014,00000001
266,27,83722.740774,/dev/input/event13:,0000,0000,00000000
267,27,83722.740893,/dev/input/event13:,0001,0014,00000000
268,27,83722.740893,/dev/input/event13:,0000,0000,00000000
269,27,83722.949935,/dev/input/event13:,0001,0014,00000001
270,27,83722.949935,/dev/input/event13:,0000,0000,00000000
271,27,83722.949990,/dev/input/event13:,0001,0014,00000000
272,27,83722.949990,/dev/input/event13:,0000,0000,00000000
273,27,83723.576110,/dev/input/event13:,0001,001e,00000001
274,27,83723.576110,/dev/input/event13:,0000,0000,00000000
275,27,83723.576253,/dev/input/event13:,0001,001e,00000000
276,27,83723.576253,/dev/input/event13:,0000,0000,00000000
277,27,83723.712490,/dev/input/event13:,0001,0025,00000001
278,27,83723.712490,/dev/input/event13:,0000,0000,00000000
279,27,83723.712595,/dev/input/event13:,0001,0025,00000000
280,27,83723.712595,/dev/input/event13:,0000,0000,00000000
281,27,83723.788488,/dev/input/event13:,0001,0012,00000001
282,27,83723.788488,/dev/input/event13:,0000,0000,00000000
283,27,83723.788581,/dev/input/event13:,0001,0012,00000000
284,27,83723.788581,/dev/input/event13:,0000,0000,00000000
285,27,83723.848856,/dev/input/event13:,0001,0013,00000001
286,27,83723.848856,/dev/input/event13:,0000,0000,00000000
287,27,83723.848995,/dev/input/event13:,0001,0013,00000000
288,27,83723.848995,/dev/input/event13:,0000,0000,00000000
289,27,83723.952391,/dev/input/event13:,0001,0016,00000001
290,27,83723.952391,/dev/input/event13:,0000,0000,00000000
291,27,83723.952440,/dev/input/event13:,0001,0016,00000000
292,27,83723.952440,/dev/input/event13:,0000,0000,00000000
293,27,83724.127887,/dev/input/event13:,0001,0023,00000001
294,27,83724.127887,/dev/input/event13:,0000,0000,00000000
295,27,83724.128272,/dev/input/event13:,0001,0023,00000000
296,27,83724.128272,/dev/input/event13:,0000,0000,00000000
297,27,83724.289691,/dev/input/event13:,0001,0018,00000001
298,27,83724.289691,/dev/input/event13:,0000,0000,00000000
299,27,83724.289801,/dev/input/event13:,0001,0018,00000000
300,27,83724.289801,/dev/input/event13:,0000,0000,00000000
301,27,83724.366716,/dev/input/event13:,0001,0022,00000001
302,27,83724.366716,/dev/input/event13:,0000,0000,00000000
303,27,83724.366891,/dev/input/event13:,0001,0022,00000000
304,27,83724.366891,/dev/input/event13:,0000,0000,00000000
305,27,83724.471419,/dev/input/event13:,0001,001e,00000001
306,27,83724.471419,/dev/input/event13:,0000,0000,00000000
307,27,83724.471509,/dev/input/event13:,0001,001e,00000000
308,27,83724.471509,/dev/input/event13:,0000,0000,00000000
309,27,83724.576353,/dev/input/event13:,0001,0031,00000001
310,27,83724.576353,/dev/input/event13:,0000,0000,00000000
311,27,83724.576393,/dev/input/event13:,0001,0031,00000000
312,27,83724.576393,/dev/input/event13:,0000,0000,00000000
313,27,83726.976826,/dev/input/event13:,0001,002a,00000001
314,27,83726.976826,/dev/input/event13:,0000,0000,00000000
315,27,83726.976931,/dev/input/event13:,0001,0003,00000001
316,27,83726.976931,/dev/input/event13:,0000,0000,00000000
317,27,83726.976954,/dev/input/event13:,0001,0003,00000000
318,27,83726.976954,/dev/input/event13:,0000,0000,00000000
319,27,83726.976982,/dev/input/event13:,0001,002a,00000000
320,27,83726.976982,/dev/input/event13:,0000,0000,00000000
321,27,83727.304873,/dev/input/event13:,0001,0022,00000001
322,27,83727.304873,/dev/input/event13:,0000,0000,00000000
323,27,83727.304974,/dev/input/event13:,0001,0022,00000000
324,27,83727.304974,/dev/input/event13:,0000,0000,00000000
325,27,83727.396143,/dev/input/event13:,0001,0032,00000001
326,27,83727.396143,/dev/input/event13:,0000,0000,00000000
327,27,83727.396203,/dev/input/event13:,0001,0032,00000000
328,27,83727.396203,/dev/input/event13:,0000,0000,00000000
329,27,83727.521770,/dev/input/event13:,0001,001e,00000001
330,27,83727.521770,/dev/input/event13:,0000,0000,00000000
331,27,83727.521818,/dev/input/event13:,0001,001e,00000000
332,27,83727.521818,/dev/input/event13:,0000,0000,00000000
333,27,83727.601327,/dev/input/event13:,0001,0017,00000001
334,27,83727.601327,/dev/input/event13:,0000,0000,00000000
335,27,83727.601416,/dev/input/event13:,0001,0017,00000000
336,27,83727.601416,/dev/input/event13:,0000,0000,00000000
337,27,83727.697197,/dev/input/event13:,0001,0026,00000001
338,27,83727.697197,/dev/input/event13:,0000,0000,00000000
339,27,83727.697235,/dev/input/event13:,0001,0026,00000000
340,27,83727.697235,/dev/input/event13:,0000,0000,00000000
341,27,83728.044294,/dev/input/event13:,0001,0034,00000001
342,27,83728.044294,/dev/input/event13:,0000,0000,00000000
343,27,83728.044398,/dev/input/event13:,0001,0034,00000000
344,27,83728.044398,/dev/input/event13:,0000,0000,00000000
345,27,83728.247661,/dev/input/event13:,0001,002e,00000001
346,27,83728.247661,/dev/input/event13:,0000,0000,00000000
347,27,83728.247813,/dev/input/event13:,0001,002e,00000000
348,27,83728.247813,/dev/input/event13:,0000,0000,00000000
349,27,83728.352131,/dev/input/event13:,0001,0018,00000001
350,27,83728.352131,/dev/input/event13:,0000,0000,00000000
351,27,83728.352199,/dev/input/event13:,0001,0018,00000000
352,27,83728.352199,/dev/input/event13:,0000,0000,00000000
353,27,83728.430333,/dev/input/event13:,0001,0032,00000001
354,27,83728.430333,/dev/input/event13:,0000,0000,00000000
355,27,83728.430378,/dev/input/event13:,0001,0032,00000000
